Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5856,26.0685,26.525,26.9296,27.2654,27.5237,27.7018,27.802,27.8292,27.7901,27.6926,27.5447,27.3539,26.9855,26.5342,26.0945,25.6676,25.254,24.8542,24.4686,24.0977,23.7967,23.8083,24.1629,24.0809,24.1208,24.308,24.6443,25.1282,25.7556,26.5217,27.4214,28.4496,29.6012,30.8718,32.2571,33.7532,35.3564,37.0633,38.8701,40.7734,42.7696,44.8546,47.0242,49.2739,51.5987,53.9929,56.4507,58.9654,61.5298,64.1364,66.7768,69.4432,72.1311,74.8397,77.569,80.3166,83.0764,85.8382,88.5882,91.3101,93.9864,96.5989,99.1301,101.564,103.888,106.089,108.159,110.09,111.878,113.52,115.014,116.359,117.557,118.609,119.517,120.285,120.916,121.414,121.783,122.028
CO2 Radiative Forcing,2.4296,2.47382,2.5184,2.56329,2.60839,2.65355,2.69856,2.74319,2.78711,2.83004,2.87168,2.91181,2.95023,2.9868,3.02142,3.05408,3.08485,3.11379,3.14103,3.1667,3.19093,3.21387,3.23562,3.25625,3.27587,3.29459,3.31247,3.32957,3.34593,3.36164,3.37675,3.3913,3.40535,3.41892,3.43204,3.44474,3.457,3.46883,3.48024,3.49124,3.50184,3.51204,3.52188,3.53137,3.54055,3.54943,3.55804,3.56639,3.57449,3.58236,3.59001,3.59744,3.60468,3.61166,3.61828,3.62465,3.63084,3.63691,3.64289,3.6488,3.6546,3.66025,3.66573,3.67105,3.67622,3.68125,3.68612,3.69086,3.69546,3.69993,3.70426,3.70845,3.71251,3.71644,3.72024,3.72391,3.72746,3.73088,3.73418,3.73736,3.74043
Coal Production Indicator,144.715,146.933,149.242,151.644,154.2,157.031,160.179,163.329,166.482,169.671,172.928,176.273,179.716,183.258,186.9,190.637,194.464,198.372,202.351,206.392,210.481,214.616,218.907,223.482,228.3,233.066,236.395,239.132,241.358,243.144,244.541,245.591,246.324,246.761,246.921,246.816,246.456,245.849,245.001,243.915,242.595,241.045,239.267,237.266,235.044,232.607,229.958,227.106,224.055,220.813,217.391,213.797,210.066,206.253,202.39,198.484,194.526,190.507,186.419,182.261,178.037,173.756,169.429,165.072,160.702,156.335,151.99,147.68,143.422,139.226,135.103,131.06,127.105,123.242,119.475,115.805,112.235,108.764,105.391,102.117,98.94
Energy Demand Indicator,591.715,600.68,609.71,618.594,627.271,635.727,643.96,651.969,659.747,667.295,674.619,681.727,688.623,695.304,701.765,708.006,714.034,719.851,725.454,730.846,736.028,741.007,745.791,750.38,754.784,759.011,763.069,766.958,770.668,774.187,777.504,780.614,783.514,786.203,788.685,790.964,793.048,794.941,796.648,798.173,799.521,800.696,801.702,802.541,803.215,803.728,804.083,804.281,804.325,804.218,803.961,803.557,803.007,802.314,801.478,800.503,799.39,798.143,796.763,795.254,793.617,791.857,789.976,787.976,785.86,783.633,781.296,778.852,776.305,773.658,770.914,768.075,765.145,762.127,759.023,755.838,752.573,749.231,745.817,742.331,738.778
Forest Land Indicator,3960.91,3951.49,3942.12,3932.92,3923.86,3914.93,3906.15,3897.5,3888.99,3880.64,3872.45,3864.4,3856.5,3848.8,3841.5,3834.63,3828.19,3822.17,3816.57,3811.39,3806.63,3802.25,3798.25,3794.61,3791.33,3788.42,3785.88,3783.71,3781.94,3780.58,3779.64,3779.1,3778.95,3779.16,3779.73,3780.63,3781.83,3783.31,3785.06,3787.06,3789.29,3791.73,3794.37,3797.2,3800.22,3803.4,3806.75,3810.26,3813.94,3817.78,3821.76,3825.88,3830.14,3834.53,3839.03,3843.65,3848.39,3853.25,3858.22,3863.3,3868.51,3873.83,3879.28,3884.86,3890.57,3896.42,3902.39,3908.49,3914.72,3921.09,3927.59,3934.23,3941.02,3947.95,3955.02,3962.22,3969.55,3977,3984.56,3992.23,3999.99
Gas Production Indicator,169.933,174.024,178.108,182.213,186.376,190.64,195.036,199.585,204.28,209.092,213.955,218.78,223.509,228.113,232.556,236.799,240.815,244.595,248.144,251.062,253.71,256.413,257.135,256.623,255.93,255.336,254.897,254.591,254.374,254.205,254.05,253.881,253.68,253.43,253.12,252.741,252.288,251.754,251.134,250.424,249.622,248.723,247.724,246.622,245.414,244.098,242.671,241.132,239.478,237.709,235.822,233.818,231.718,229.559,227.359,225.109,222.792,220.386,217.88,215.264,212.537,209.703,206.768,203.741,200.631,197.452,194.214,190.928,187.606,184.258,180.892,177.516,174.139,170.767,167.404,164.057,160.73,157.427,154.152,150.908,147.698
GWP per Capita Indicator,11.9626,12.2754,12.5953,12.921,13.2561,13.5983,13.9524,14.3144,14.6838,15.0608,15.4471,15.8455,16.2512,16.6638,17.0827,17.5086,17.9462,18.389,18.8365,19.2886,19.7451,20.2125,20.6878,21.1753,21.6844,22.2256,22.8098,23.435,24.095,24.7796,25.479,26.1885,26.8976,27.6026,28.2998,28.99,29.6787,30.361,31.0382,31.7134,32.3902,33.0701,33.7506,34.4326,35.1185,35.8106,36.5074,37.2093,37.9178,38.6346,39.3586,40.0837,40.8195,41.5662,42.3229,43.09,43.8695,44.6611,45.4646,46.2806,47.111,47.9547,48.8122,49.6854,50.5735,51.477,52.3964,53.332,54.2845,55.2542,56.2416,57.2472,58.2715,59.3153,60.3821,61.4692,62.5768,63.7054,64.8556,66.0319,67.231
Livestock Production Indicator,330.824,336.915,342.665,348.315,353.945,359.474,365.004,370.468,375.853,381.159,386.432,391.713,396.921,401.647,405.962,410.104,414.164,418.04,421.742,425.273,428.634,431.926,435.083,438.105,441.015,443.825,446.392,448.42,450.29,451.993,453.559,455.089,456.525,457.857,459.036,460.08,461.099,461.974,462.695,463.303,463.844,464.316,464.659,464.872,464.987,465.052,464.969,464.723,464.374,463.993,463.516,462.942,462.292,461.571,460.746,459.815,458.804,457.715,456.536,455.255,453.887,452.409,450.821,449.155,447.416,445.606,443.734,441.811,439.814,437.71,435.495,433.187,430.811,428.381,425.93,423.449,420.962,418.469,415.963,413.463,410.931
Nonenergy Crops Production Indicator,4221.89,4292.75,4359.05,4424.75,4490.93,4555.77,4621.34,4685.89,4749.4,4811.99,4874.49,4937.49,4999.26,5050.52,5094.08,5136.21,5178.55,5218.97,5257.47,5294.08,5328.81,5363.55,5396.78,5428.11,5457.56,5485.21,5512.09,5537.49,5561.1,5582.73,5602.63,5621.96,5639.99,5656.67,5671.52,5684.79,5697.74,5708.92,5718.32,5726.38,5733.61,5739.95,5744.66,5747.76,5749.72,5751.22,5751.13,5749.37,5746.42,5742.87,5737.99,5731.82,5724.74,5716.83,5707.59,5697.06,5685.61,5673.29,5659.82,5645.18,5629.71,5613.13,5595.4,5576.84,5557.45,5537.19,5516.11,5494.27,5471.66,5448.09,5423.58,5398.23,5372.13,5345.4,5318.42,5290.89,5262.92,5234.54,5205.73,5176.88,5147.68
Oil Production Indicator,196.976,198.96,200.89,202.775,204.608,206.382,208.088,209.718,211.265,212.722,214.084,215.346,216.505,217.555,218.494,219.32,220.031,220.629,221.114,221.488,221.754,221.917,221.98,221.929,221.775,221.585,221.452,221.447,221.579,221.844,222.232,222.73,223.32,223.985,224.707,225.106,224.155,223.121,222.004,220.805,219.526,218.169,216.737,215.231,213.656,212.012,210.304,208.534,206.705,204.82,202.879,200.884,198.759,188.327,179.304,174.487,172.553,172.414,173.218,174.337,171.487,167.653,163.935,160.353,156.911,153.602,150.412,147.324,144.322,141.388,138.508,135.67,132.865,130.086,127.33,124.594,121.879,119.184,116.514,113.869,111.252
Pasture Land Indicator,3289,3294.47,3299.83,3304.99,3309.94,3314.69,3319.23,3323.55,3327.64,3331.48,3335.06,3338.38,3341.43,3344.15,3346.41,3348.18,3349.44,3350.21,3350.48,3350.26,3349.55,3348.39,3346.79,3344.77,3342.35,3339.52,3336.28,3332.61,3328.51,3324,3319.11,3313.91,3308.5,3302.94,3297.32,3291.7,3286.14,3280.68,3275.34,3270.14,3265.07,3260.15,3255.38,3250.74,3246.21,3241.81,3237.51,3233.29,3229.14,3225.05,3221.02,3217.03,3213.07,3209.14,3205.24,3201.36,3197.49,3193.62,3189.74,3185.86,3181.94,3177.94,3173.86,3169.69,3165.42,3161.07,3156.63,3152.1,3147.48,3142.77,3137.96,3133.06,3128.06,3122.96,3117.76,3112.48,3107.1,3101.64,3096.11,3090.51,3084.83
Solar Energy Production Indicator,3.66252,4.00673,4.35898,4.7125,5.06105,5.39927,5.72274,6.02794,6.31223,6.57374,6.81128,7.02425,7.21258,7.37661,7.51707,7.63499,7.73166,7.8086,7.86746,7.91003,7.93814,7.95405,7.96599,7.98848,8.03403,8.11174,8.22811,8.3879,8.59466,8.8512,9.15977,9.52237,9.94078,10.4167,10.952,11.5483,12.2075,12.9317,13.7229,14.5833,15.5153,16.5211,17.6033,18.7643,20.0067,21.333,22.7457,24.2472,25.84,27.5264,29.3086,30.9086,32.6384,34.4969,36.4859,38.6085,40.8669,43.2604,45.7848,48.4319,51.1901,54.045,56.9804,59.9785,63.0221,66.0942,69.1791,72.2621,75.3299,78.3703,81.3722,84.3256,87.2214,90.0511,92.807,95.4822,98.0701,100.565,102.961,105.254,107.439
Total CO2 Emissions Indicator,53100.6,53901.4,54685.3,55418.7,56062,56575.2,56920.1,57031,56885.6,56479.7,55824.5,54944.2,53873.3,52634.1,51283.3,49878,48458.9,47056.9,45697.8,44387.6,43151.2,41994.9,40871.1,39815,38805.6,37870.4,36952.9,36072.5,35240.2,34451.5,33702.5,32990.9,32310.3,31656,31023.6,30402.1,29769.9,29149.9,28539.5,27937.8,27344,26766.5,26214.7,25686.4,25180.3,24695.7,24228.7,23777.5,23342,22922.7,22516.8,22121.4,21737.7,21231.4,20764.4,20380.3,20055.5,19770.3,19509.1,19260.4,18956.6,18643.7,18338.2,18040.3,17749.8,17465.9,17188.3,16916.8,16650.3,16387.7,16128.5,15872.8,15620.9,15372.8,15129.1,14889.4,14654,14422.8,14195.4,13972.1,13751.8
